,Symbol,Name,Sector
420,TTWO,Take-Two Interactive,Communication Services
421,TPR,Tapestry Inc.,Consumer Discretionary
422,TGT,Target Corp.,Consumer Discretionary
423,TEL,TE Connectivity Ltd.,Information Technology
424,FTI,TechnipFMC,Energy
425,TDY,Teledyne Technologies,Industrials
426,TFX,Teleflex,Health Care
427,TXN,Texas Instruments,Information Technology
428,TXT,Textron Inc.,Industrials
429,BK,The Bank of New York Mellon,Financials
430,CLX,The Clorox Company,Consumer Staples
431,COO,The Cooper Companies,Health Care
432,HSY,The Hershey Company,Consumer Staples
433,MOS,The Mosaic Company,Materials
434,TRV,The Travelers Companies Inc.,Financials
435,DIS,The Walt Disney Company,Communication Services
436,TMO,Thermo Fisher Scientific,Health Care
437,TIF,Tiffany & Co.,Consumer Discretionary
438,TJX,TJX Companies Inc.,Consumer Discretionary
439,TSCO,Tractor Supply Company,Consumer Discretionary
440,TT,Trane Technologies plc,Industrials
441,TDG,TransDigm Group,Industrials
442,TFC,Truist Financial,Financials
443,TWTR,Twitter Inc.,Communication Services
444,TYL,Tyler Technologies,Information Technology
445,TSN,Tyson Foods,Consumer Staples
446,USB,U.S. Bancorp,Financials
447,UDR,UDR Inc.,Real Estate
448,ULTA,Ulta Beauty,Consumer Discretionary
449,UAA,Under Armour (Class A),Consumer Discretionary
450,UA,Under Armour (Class C),Consumer Discretionary
451,UNP,Union Pacific Corp,Industrials
452,UAL,United Airlines Holdings,Industrials
453,UNH,United Health Group Inc.,Health Care
454,UPS,United Parcel Service,Industrials
455,URI,United Rentals Inc.,Industrials
456,UHS,Universal Health Services,Health Care
457,UNM,Unum Group,Financials
458,VLO,Valero Energy,Energy
459,VAR,Varian Medical Systems,Health Care
460,VTR,Ventas Inc,Real Estate
461,VRSN,Verisign Inc.,Information Technology
462,VRSK,Verisk Analytics,Industrials
463,VZ,Verizon Communications,Communication Services
464,VRTX,Vertex Pharmaceuticals Inc,Health Care
465,VFC,VF Corporation,Consumer Discretionary
466,VIAC,ViacomCBS,Communication Services
467,V,Visa Inc.,Information Technology
468,VNO,Vornado Realty Trust,Real Estate
469,VMC,Vulcan Materials,Materials
470,WRB,W. R. Berkley Corporation,Financials
471,WAB,Wabtec Corporation,Industrials
472,WBA,Walgreens Boots Alliance,Consumer Staples
473,WMT,Walmart,Consumer Staples
474,WM,Waste Management Inc.,Industrials
475,WAT,Waters Corporation,Health Care
476,WEC,WEC Energy Group,Utilities
477,WFC,Wells Fargo,Financials
478,WELL,Welltower Inc.,Real Estate
479,WST,West Pharmaceutical Services,Health Care
480,WDC,Western Digital,Information Technology
481,WU,Western Union Co,Information Technology
482,WRK,WestRock,Materials
483,WY,Weyerhaeuser,Real Estate
484,WHR,Whirlpool Corp.,Consumer Discretionary
485,WMB,Williams Companies,Energy
486,WLTW,Willis Towers Watson,Financials
487,WYNN,Wynn Resorts Ltd,Consumer Discretionary
488,XEL,Xcel Energy Inc,Utilities
489,XRX,Xerox,Information Technology
490,XLNX,Xilinx,Information Technology
491,XYL,Xylem Inc.,Industrials
492,YUM,Yum! Brands Inc,Consumer Discretionary
493,ZBRA,Zebra Technologies,Information Technology
494,ZBH,Zimmer Biomet Holdings,Health Care
495,ZION,Zions Bancorp,Financials
496,ZTS,Zoetis,Health Care
